,"TURİZM GELİRİ, GİDERİ ve ORTALAMA HARCAMANIN YILLARA GÖRE DAĞILIMI
",,,,,,,,,
,,TOPLAM  ,,,,,,,VATANDAŞ 1,
,YILLAR,GELEN ZİYARETÇİ SAYISI,ÇIKAN ZİYARETÇİ SAYISI,TURİZM GELİRİ,,ORTALAMA HARCAMA,"TURİZM 2 GİDERİ 
",,TURİZM GELİRİ,ORTALAMA HARCAMA
,,,,,TRANSFER YOLCU TURİZM GELİRİ,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,( 1000 $ ),( 1000 $ ),($),( 1000 $ ),,( 1000 $ ),($)
,2004,20753734,20262640,17076607,-,843,2954459.043,,3862552,1262
,2005,25045142,24124501,20322111,-,842,3394601.262,,4374383,1214
,2006,23924023,23148669,18593951,-,803,3270947.65,,4463614,1153
,2007,27239630,27214988,20942500,-,770,4043283.01,,4703850,1121
,2008,31137774,  30 979 979,25415067,-,820,4266197.377,,5418439,1191
,2009,31759816,  32 006 149,25064482,-,783,5090440.35,,5690629,1222
,2010,32997308,33027943,24930997,-,755,5874519.774,,5558366,1231
,2011,36769039,36151328,28115692,-,778,5531486.351,,5638484,1168
,2012,37715225,36463921,35717337,-,980,4525101,,8595191,1678
,2013,39860771,39226226,40186327,-,1024,5875183,,9193811,1703
,2014,41627246,41415070,41316834,-,998,5791095,,8404159,1510
,2015,41114069,41617530,37700923,-,906,6296506,,7270820,1207
,2016,30906680,31365330,26539007,-,846,5255797,,7374334,1209
,2017,37969824,38620346,31253835,-,809,5487607,,7210947,1102
,2018,46112592,45628673,35920910,-,787,5530582,,6676206,1000
,2019,51747199,51860042,42851778,-,826,4655848,,7014139,981
,2020,15971201,15826266,15287810,118439,958,1188382,,3317861,1064
,2021,30038961,29357463,30528342,218620,1032,2203157,,6507848,1201
,2022,51387513,51369026,50248936,391907,971,5098884,,7454442,1061
,2023,56693837,57077440,56439612,565436,979,8429980,,8391864,1086
,2024,62269890,62232447,61103419,606401,972,7741002,,10303122,1073
,2025 (Ocak-Eylül),49992520,49173056,50035855,569957,1006,7687341,,8722740,1046
,,,,,,,,,,
,,,,,,,,,,
,"Kaynak : Türkiye İstatistik Kurumu , Merkez Bankası , Kültür ve Turizm Bakanlığı",,,,,,,,,
,1 - Yurt dışında ikamet eden vatandaş ziyaretçilerden elde edilen  gelir. ,,,,,,,,,
,2 - Yurtiçi ikametli vatandaşların yurtdışında yapmış olduğu harcamalardır.,,,,,,,,,
